Rank,Artist,Weeks_on_Chart,Peak_Rank,Peak_Streams,Total_Streams,Weekly_Rank,Weekly_Streams,spotify_id,genres,popularity,followers,vector,Track_Name
338,李浩瑋 Howard Lee,56,39,185953,6404744,,,7EkkWNWPiWFQ0rA9IEmMXs,"chinese r&b, mandopop, taiwanese pop, chinese hip hop, c-pop, taiwanese indie, chinese indie",50,103903,"[0.5, 0.4, 0.6, 0.8, 0.8]",真心話
339,TRASH,99,87,104303,6400488,,,3KZMUYrA5eIfgZdIFRmNe4,"taiwanese indie, taiwanese pop, mandopop, chinese rock, chinese indie, c-pop",48,133604,"[0.8, 0.3, 0.5, 0.9, 0.9]",重感情的廢物
340,JJ Lin,97,22,157182,6388704,,,7Dx7RhX0mFuXhCOUgB01uM,"mandopop, c-pop, taiwanese pop",66,3944309,"[0.5, 0.5, 0.8, 0.7, 0.8]",關鍵詞
341,YOASOBI,108,92,89734,6373311,,,64tJ2EAv1R6UaZqc4iOCyj,"j-pop, anime",73,9586992,"[0.9, 0.7, 0.7, 1.0, 0.7]",怪物
342,Mayday,37,14,297461,6367625,,,3WfJ1OtrWI7RViX9DMyEGy,"pop punk, emo",61,1391952,"[0.7, 0.6, 0.8, 0.8, 0.7]",任性
343,婁峻碩,66,28,132446,6345156,,,40sntfyZsRwGfDgSJnxYuX,"chinese hip hop, chinese r&b, mandopop, taiwanese pop, c-pop, chinese indie",48,149742,"[0.8, 0.7, 0.7, 0.9, 0.8]",colorful
344,高爾宣 OSN,60,56,138444,6321771,,,4TcOznbEZBqev21LzAH4KE,"chinese r&b, chinese hip hop, mandopop, taiwanese pop, c-pop",56,471977,"[0.6, 0.3, 0.6, 0.8, 0.8]",drowning
346,i-dle,32,7,417315,6305299,,,2AfmfGFbe0A0WsTYm0SDTx,k-pop,70,11029613,"[0.9, 0.6, 0.7, 0.9, 0.7]",klaxon
347,Lauv,80,4,165043,6292953,,,5JZ7CnR6gTvEMKX4g70Amv,,74,6836209,"[0.5, 0.4, 0.8, 0.7, 0.9]",im so tired
348,Yoga Lin,133,88,72072,6282864,,,1GPoTgvXd5OqZMF1akOsV2,"mandopop, taiwanese pop, c-pop, chinese r&b, cantopop, taiwanese indie",53,710421,"[0.4, 0.2, 0.6, 0.6, 0.9]",天真有邪
349,Hikaru Utada,34,1,675005,6274000,,,7lbSsjYACZHn1MSDXPxNF2,"j-pop, j-r&b, anime",73,4157095,"[0.2, 0.3, 0.5, 0.2, 0.8]",first love
